timestamp,username,command,args
2024-12-10 12:34:56,testuser,ls,
2024-12-10 12:35:10,testuser,cd,folder_12024-12-10 09:48:13.884131,user,ls,
2024-12-10 09:48:13.884308,user,cd,folder_1
2024-12-10 09:48:13.884435,user,ls,
2024-12-10 09:48:13.884566,user,exit,
2024-12-10 09:49:18.576213,user,ls,
2024-12-10 09:49:27.159338,user,exit,
2024-12-10 09:49:37.426530,user,cal,
2024-12-10 09:49:41.594552,user,exit,
2024-12-10 10:41:44.297516,user,ls,
2024-12-10 10:41:44.297695,user,cd,folder_1
2024-12-10 10:41:44.297828,user,ls,
2024-12-10 10:41:44.297960,user,exit,
2024-12-10 10:42:31.675324,user,ls,
2024-12-10 10:42:31.675507,user,cd,folder_1
2024-12-10 10:42:31.675642,user,ls,
2024-12-10 10:42:31.675780,user,exit,
2024-12-10 10:43:49.749563,user,ls,
2024-12-10 10:43:49.749747,user,cd,folder_1
2024-12-10 10:43:49.749876,user,ls,
2024-12-10 10:43:49.750069,user,exit,
2024-12-10 10:59:38.123690,your_username,ls,
2024-12-10 10:59:38.123869,your_username,cd,folder_1
2024-12-10 10:59:38.124002,your_username,ls,
2024-12-10 10:59:38.124135,your_username,exit,
2024-12-10 11:01:38.258173,your_username,ls,
2024-12-10 11:01:38.258362,your_username,cd,folder_1
2024-12-10 11:01:38.258495,your_username,ls,
2024-12-10 11:01:38.258637,your_username,exit,
2024-12-10 11:02:47.366305,your_username,ls,
2024-12-10 11:02:47.366484,your_username,cd,folder_1
2024-12-10 11:02:47.366615,your_username,ls,
2024-12-10 11:02:50.304078,your_username,ды,
2024-12-10 11:02:51.827778,your_username,ls,
2024-12-10 11:02:54.794834,your_username,../,
2024-12-10 11:02:58.114912,your_username,./,
2024-12-10 11:02:59.510902,your_username,..,
2024-12-10 11:03:00.382924,your_username,../,
2024-12-10 11:03:02.007052,your_username,cd,
2024-12-10 11:03:09.014052,your_username,exit,
2024-12-10 11:03:10.173810,your_username,ls,
2024-12-10 11:03:21.250274,your_username,cd,folder_1
2024-12-10 11:03:24.006285,your_username,ls,
2024-12-10 11:03:25.526335,your_username,cal,
2024-12-10 11:03:29.325383,your_username,exit,
